model,mode,mse,mae,rmse,mape,smape,mase,r2,nmse,skill_vs_persistence,skill_vs_best_baseline,beats_all_baselines,occ_accuracy,occ_precision,occ_pd,occ_mdr,occ_fdr,occ_f1,occ_balanced_acc,occ_positive_rate,snr_lo_db,snr_hi_db,snr_mid_db,n_windows
dlinear_a23,centralized,0.07545885443687439,0.1504933387041092,0.27469775105900374,64.90904688835144,189.0712022781372,nan,0.25479179910998095,0.6600083557438049,0.5465580569887409,0.09447531481504501,True,0.9011863425925926,0.6641162968630452,0.274596646630813,0.725403353369187,0.01792788009964471,0.38854073410922113,0.6283343832655841,0.11433015046296297,0,4,2.0,108
dlinear_a23,centralized,0.15334634482860565,0.2872794568538666,0.3915946179770678,39.07697796821594,138.69253396987915,nan,0.3724902794796332,0.36082721581851745,0.5857221403758335,0.22277610845744356,True,0.7499276620370371,0.7352140077821012,0.6432340425531915,0.3567659574468085,0.1712165052207825,0.6861552428506582,0.7360087686662045,0.4249855324074074,4,8,6.0,54
dlinear_a23,federated,0.07535474747419357,0.1503102034330368,0.2745081919983329,64.91937041282654,189.05187845230103,nan,0.2558199271267453,0.6590977738674536,0.5471836490917654,0.09572462379688185,True,0.9024160879629629,0.6807181889149102,0.27586206896551724,0.7241379310344828,0.016702740229509537,0.39261593876632145,0.6295796643680039,0.11433015046296297,0,4,2.0,108
dlinear_a23,federated,0.15418939292430878,0.28713029623031616,0.392669572190549,38.970521092414856,138.67669105529785,nan,0.3690404360842058,0.3628109259455091,0.5834445760749793,0.21850318547103476,True,0.7425491898148148,0.7224356511717249,0.6401702127659574,0.3598297872340426,0.18178387218518052,0.6788196011190325,0.7291931702903884,0.4249855324074074,4,8,6.0,54
nhits_a23,centralized,0.07473178207874298,0.16693784296512604,0.27337114346386854,61.464923620224,188.1937861442566,nan,0.2619721398130489,0.6536489452388585,0.5509271281234833,0.10320036071081062,True,0.8998842592592593,0.6543597800471328,0.2635242012021512,0.7364757987978487,0.017968718095315882,0.37573297248534054,0.6227777415534177,0.11433015046296297,0,4,2.0,108
nhits_a23,centralized,0.1521766036748886,0.3019599914550781,0.39009819747710783,40.95151722431183,139.65108394622803,nan,0.3772769859725109,0.3580747899671167,0.5888822930486464,0.22870484952137693,True,0.7500723379629629,0.7445432497978981,0.6270638297872341,0.3729361702127659,0.15901371241665618,0.6807724290862053,0.734025058685289,0.4249855324074074,4,8,6.0,54
nhits_a23,federated,0.07486237585544586,0.16759777069091797,0.27360989721763695,60.79263687133789,188.1350040435791,nan,0.26068243625061804,0.6547911966615082,0.5501423733548714,0.10163320349091243,True,0.8996310763888888,0.66110183639399,0.2505536222714331,0.7494463777285669,0.01658022624249602,0.36338609772883684,0.6169866980144685,0.11433015046296297,0,4,2.0,108
nhits_a23,federated,0.15232044458389282,0.29998233914375305,0.3902825189319819,39.894887804985046,139.01140689849854,nan,0.37668837351676887,0.35841325068996477,0.5884936949116952,0.22797580318392274,True,0.7489872685185185,0.7470721183480583,0.6188936170212765,0.38110638297872346,0.1548622468234998,0.6769689070936511,0.7320156850988884,0.4249855324074074,4,8,6.0,54
patchtst_i23,centralized,0.0715387836098671,0.1432294249534607,0.26746735054930926,60.950446128845215,188.43858242034912,nan,0.2935052006074733,0.6257210673899014,0.5701142658101581,0.14151712227447366,True,0.9031032986111112,0.7489669421487604,0.22935779816513763,0.7706422018348624,0.009923632948094908,0.35117461855170745,0.6097170826085213,0.11433015046296297,0,4,2.0,108
patchtst_i23,centralized,0.14999093115329742,0.285471647977829,0.387286626613026,38.749101758003235,138.5005235671997,nan,0.3862209927873175,0.3529318559667123,0.5947870685103387,0.2397827588433593,True,0.7462384259259259,0.7331101043923577,0.633531914893617,0.36646808510638296,0.17046169329475405,0.6796932067202338,0.7315351107994315,0.4249855324074074,4,8,6.0,54
patchtst_i23,federated,0.07156411558389664,0.14483830332756042,0.2675147016219793,62.70784139633179,188.7320876121521,nan,0.2932550299027572,0.6259426360136467,0.5699620427263333,0.1412131323984095,True,0.9032841435185185,0.7497435897435898,0.23125593166719394,0.7687440683328061,0.00996447094376608,0.35348162475822054,0.610645730361714,0.11433015046296297,0,4,2.0,108
patchtst_i23,federated,0.15161055326461792,0.29212072491645813,0.38937199856258015,40.565025806427,139.5571231842041,nan,0.3795933250749943,0.35674286129428673,0.5904115251452342,0.23157383151877353,True,0.7407407407407407,0.7358451719168211,0.6083404255319149,0.3916595744680851,0.16140395018241288,0.6660454714871412,0.723468237674751,0.4249855324074074,4,8,6.0,54
itransformer_i24,centralized,0.0719798281788826,0.14756906032562256,0.2682905666975315,60.8237624168396,188.35787773132324,nan,0.28914958147912695,0.6295787074637933,0.5674639723777783,0.13622447971462148,True,0.9023799189814815,0.7077338129496403,0.24897184435305283,0.7510281556469471,0.01327234859313105,0.3683594664170372,0.6178497478799609,0.11433015046296297,0,4,2.0,108
itransformer_i24,centralized,0.152548685669899,0.2853313088417053,0.39057481443367414,39.26900625228882,138.95803689956665,nan,0.3757543864677063,0.35895030682711004,0.5878770827016383,0.22681898118549892,True,0.7413917824074074,0.7334551360129923,0.6149787234042553,0.3850212765957447,0.16517800981255504,0.6690121285066197,0.7249003567958502,0.4249855324074074,4,8,6.0,54
itransformer_i24,federated,0.07291572540998459,0.14730986952781677,0.2700291195593257,60.808390378952026,188.41880559921265,nan,0.2799069512137694,0.637764625435309,0.5618400457743767,0.12499348433464175,True,0.9008969907407407,0.6791489361702128,0.2524517557734894,0.7475482442265107,0.015395924368032016,0.36808118081180813,0.6185279157027287,0.11433015046296297,0,4,2.0,108
itransformer_i24,federated,0.15045878291130066,0.28585344552993774,0.3878901686190315,38.83008658885956,138.33783864974976,nan,0.3843064931216247,0.35403272111902345,0.5935231282113793,0.23741148899387754,True,0.7469618055555556,0.7292189006750242,0.6435744680851064,0.35642553191489357,0.1766259906906529,0.6837251356238699,0.7334742386972267,0.4249855324074074,4,8,6.0,54
timesnet_i23,centralized,0.09668205678462982,0.2170107215642929,0.31093738402551374,61.38330698013306,188.4284496307373,nan,0.045198046902592326,0.8456392003901172,0.41902510964539186,-0.16020829743943077,False,0.8858868634259259,0.5015706806282723,0.3030686491616577,0.6969313508383423,0.038877771878956184,0.3778347465983041,0.6320954386413508,0.11433015046296297,0,4,2.0,108
timesnet_i23,centralized,0.17309464514255524,0.3320910930633545,0.4160464458958341,38.960397243499756,138.14740180969238,nan,0.29167811258638554,0.40729538711659935,0.5323704703740316,0.1226834010732909,True,0.7452980324074074,0.7080240367621068,0.6818723404255319,0.3181276595744681,0.2078248836331614,0.694702159021937,0.7370237283961854,0.4249855324074074,4,8,6.0,54
timesnet_i23,federated,0.10305473208427429,0.23172657191753387,0.3210213888267794,62.243473529815674,188.58838081359863,nan,-0.017736514327423514,0.9013784370588381,0.38073088570553604,-0.23668195765546196,False,0.8840422453703703,0.48866498740554154,0.30686491616577033,0.6931350838342296,0.041450565606240046,0.376991838321026,0.6327071752797652,0.11433015046296297,0,4,2.0,108
timesnet_i23,federated,0.22012826800346375,0.3769504725933075,0.46917829020902463,51.588374376297,148.32770824432373,nan,0.09921147394888341,0.5179665035734552,0.405305240153085,-0.11570281826671547,False,0.7060908564814815,0.7270676691729323,0.4937872340425532,0.5062127659574468,0.13699836457416026,0.5881398884946781,0.6783944347341964,0.4249855324074074,4,8,6.0,54
scinet_n22,centralized,0.09167145937681198,0.20874862372875214,0.3027729502066061,62.2103214263916,188.60307931900024,nan,0.09468115007887734,0.8018135131184592,0.4491344326824752,-0.10007990463301142,False,0.8923972800925926,0.5565006075334143,0.28978171464726354,0.7102182853527365,0.029811736839955895,0.3811108799667152,0.6299849889036538,0.11433015046296297,0,4,2.0,108
scinet_n22,centralized,0.19193251430988312,0.34838518500328064,0.43810103208036744,43.49961876869202,141.98527336120605,nan,0.21459152777341617,0.45162129453354904,0.48147840556972676,0.027205142370975266,True,0.7258391203703703,0.708374975014991,0.6032340425531915,0.39676595744680854,0.1835451000125802,0.6515903658760801,0.7098444712703056,0.4249855324074074,4,8,6.0,54
scinet_n22,federated,0.0906222015619278,0.20508763194084167,0.3010352164812745,63.17867636680603,188.82646560668945,nan,0.10504329424783965,0.7926360755556827,0.45543955758599264,-0.08748855455764426,False,0.8926142939814815,0.5634081902245707,0.26985131287567227,0.7301486871243277,0.026993915138644995,0.3649197860962567,0.6214286988685137,0.11433015046296297,0,4,2.0,108
scinet_n22,federated,0.20317743718624115,0.35420772433280945,0.4507520795140508,47.94471859931946,145.77337503433228,nan,0.16857609506582028,0.4780808375901849,0.45109931446023066,-0.029788865069028336,False,0.7112991898148148,0.7251434034416826,0.5164255319148936,0.4835744680851064,0.144672285822116,0.6032408788149916,0.6858766230463889,0.4249855324074074,4,8,6.0,54
informer_a21,centralized,0.08777207136154175,0.20079244673252106,0.2962635167575342,61.65691018104553,188.56444358825684,nan,0.13319029455393094,0.7677071290291195,0.472566355833099,-0.053286295966510355,False,0.8930121527777778,0.5685347738014855,0.2663714014552357,0.7336285985447644,0.026095479233879202,0.36277466609220166,0.6201379611106782,0.11433015046296297,0,4,2.0,108
informer_a21,centralized,0.16575175523757935,0.32230308651924133,0.40712621536518545,41.1249041557312,139.94016647338867,nan,0.32172600709103305,0.3900174107589907,0.5522078960178534,0.15990026120447098,True,0.7466001157407407,0.7372949179671868,0.6272340425531915,0.3727659574468085,0.16517800981255504,0.6778258070449737,0.7310280163703182,0.4249855324074074,4,8,6.0,54
informer_a21,federated,0.10023466497659683,0.2235996276140213,0.3165985865044202,64.52697515487671,189.14138078689575,nan,0.010113592215864942,0.876712440354867,0.3976770309693387,-0.2028404635201866,False,0.8905526620370371,0.5425867507886435,0.2720658019614046,0.7279341980385954,0.029607546861600033,0.3624104509060261,0.6212291275499023,0.11433015046296297,0,4,2.0,108
informer_a21,federated,0.18819276988506317,0.34650498628616333,0.43381190611261833,45.61603367328644,143.49757432937622,nan,0.22989496380548657,0.44282159624149764,0.4915816350766802,0.04615974294187153,True,0.7244646990740741,0.7315105333930972,0.5555744680851064,0.44442553191489365,0.15071078123034343,0.6315178485053691,0.7024318434273814,0.4249855324074074,4,8,6.0,54
autoformer_n21,centralized,0.12446905672550201,0.25870516896247864,0.35280172438000074,59.86539125442505,188.06840181350708,nan,-0.22921773092227649,1.0886809518040672,0.2520494599662244,-0.4936590841160551,False,0.8639684606481481,0.4016393442622951,0.38753559000316357,0.6124644099968364,0.07452934209988973,0.3944614393817421,0.6565031239516369,0.11433015046296297,0,4,2.0,108
autoformer_n21,centralized,0.2200205773115158,0.37138843536376953,0.4690635109572219,44.50477957725525,142.63983964920044,nan,0.09965215583199205,0.5177131050813778,0.4055961754825935,-0.11515699646201427,False,0.7198350694444444,0.6907393292682927,0.6170212765957447,0.3829787234042553,0.20417662599069064,0.6518025712487638,0.706422325302527,0.4249855324074074,4,8,6.0,54
autoformer_n21,federated,0.13875077664852142,0.2745835483074188,0.3724926531470405,62.92469501495361,188.6248230934143,nan,-0.37025955946410494,1.2135974318371825,0.16622877159553073,-0.6650432117138385,False,0.8604962384259259,0.3883183568677792,0.38279025624802276,0.6172097437519772,0.07783721974925471,0.38553449099888476,0.652476518249384,0.11433015046296297,0,4,2.0,108
autoformer_n21,federated,0.2507466971874237,0.39488136768341064,0.500746140461835,45.5529510974884,143.38685274124146,nan,-0.026082428305350458,0.5900123196477344,0.3225870161121893,-0.27088991913876925,False,0.7092737268518519,0.6722345953971789,0.6165106382978723,0.38348936170212766,0.22216631022770159,0.643167894877031,0.6971721640350853,0.4249855324074074,4,8,6.0,54
fedformer_i22,centralized,0.13736063241958618,0.27296683192253113,0.3706219535046274,64.81364965438843,189.07462358474731,nan,-0.3565309269854724,1.2014383974384581,0.17458232672088192,-0.6483611414033048,False,0.8624131944444444,0.38832928100034736,0.353685542549826,0.646314457450174,0.0719157103769347,0.3701986754966888,0.6408849160864456,0.11433015046296297,0,4,2.0,108
fedformer_i22,centralized,0.21836435794830322,0.37081265449523926,0.46729472279098466,45.46281099319458,143.49430799484253,nan,0.10642958343153197,0.5138159856405418,0.4100705893567991,-0.10676257884375961,False,0.716796875,0.6963141025641025,0.5916595744680851,0.40834042553191485,0.1907158133098503,0.6397349774546792,0.7004718805791174,0.4249855324074074,4,8,6.0,54
fedformer_i22,federated,0.1452610194683075,0.28331366181373596,0.38113123654235886,65.73576331138611,189.216148853302,nan,-0.4345526947799676,1.2705399164673254,0.12710788676751594,-0.7431677157744727,False,0.8541666666666666,0.35791190864600325,0.3470420752926289,0.6529579247073711,0.0803691754808674,0.35239318984902024,0.6333364499058808,0.11433015046296297,0,4,2.0,108
fedformer_i22,federated,0.25742974877357483,0.40332311391830444,0.5073753529425477,47.305288910865784,144.50080394744873,nan,-0.053430193507945534,0.6057376823859051,0.3045321983728877,-0.3047624406323437,False,0.6982060185185185,0.6608728509351974,0.595404255319149,0.404595744680851,0.22581456787017234,0.626432664756447,0.6847948437244883,0.4249855324074074,4,8,6.0,54
crossformer_i23,centralized,0.07467624545097351,0.15196794271469116,0.27326954724405994,64.13960456848145,188.89864683151245,nan,0.2625206022933295,0.6531631886149178,0.5512608548490215,0.10386681380968787,True,0.9020543981481481,0.6892230576441103,0.2609933565327428,0.7390066434672572,0.015191734389676154,0.3786140431390546,0.6229008110715334,0.11433015046296297,0,4,2.0,108
