mse,mae,rmse,mape,smape,mase,r2,nmse,skill_vs_persistence,skill_vs_best_baseline,beats_all_baselines,occ_accuracy,occ_precision,occ_pd,occ_mdr,occ_fdr,occ_f1,occ_balanced_acc,occ_positive_rate,model,mode,family,fit_train_mse,fit_val_mse,fit_test_mse,fit_train_skill,fit_val_skill,fit_test_skill,fit_test_skill_vs_best_baseline,fit_skill_gap_train_minus_val,fit_val_loss_diverging,fit_best_epoch_or_round,fit_verdict,train_time_s,best_val_loss,epochs_run,rounds_run,n_partitions,n_data_clients,comm_titanic_bytes,comm_fedavg_bytes,comm_ratio_titanic_over_fl
0.2343267798423767,0.2343267798423767,0.48407311414948123,53.39751839637756,139.5362138748169,0.8403948199020047,-0.3750812129644836,1.0754758815769045,0.0,-0.9314589798744075,False,0.765673225308642,0.4625439367311072,0.466024789729969,0.533975210270031,0.15085090640029597,0.4642778390297685,0.6575869416648366,0.21788194444444445,persistence,baseline,non-learned,,,,,,,,,,,,,,,,,,,,
0.1802903115749359,0.1802903115749359,0.4246060663425994,41.76626801490784,117.38754510879517,0.6465972179023386,-0.057983302177285756,0.8274678716246484,0.23060304205856974,-0.4860586635040274,False,0.8197096836419753,0.5869492470719465,0.5823373173970784,0.4176626826029216,0.1141632753730423,0.5846341869896118,0.734087021012018,0.21788194444444445,seasonal_naive,baseline,non-learned,,,,,,,,,,,,,,,,,,,,
0.12132112681865692,0.23703040182590485,0.3483118241154855,56.27974271774292,164.08369541168213,0.8500911504343434,0.2880608766260737,0.5568204620358218,0.4822566720702375,0.0,False,0.8064718364197531,0.5602913085004776,0.5193669765382912,0.4806330234617088,0.11354667653224812,0.5390535263036986,0.7029101500030216,0.21788194444444445,historical_mean,baseline,non-learned,,,,,,,,,,,,,,,,,,,,
0.10142134130001068,0.19608870148658752,0.318467174603617,48.11362624168396,172.2783088684082,0.7032569178882941,0.4048372059347418,0.46548758327457407,0.5671798956643658,0.16402572281076133,True,0.8507667824074074,0.7208003722661703,0.5142762284196547,0.4857237715803453,0.05549389567147614,0.6002712652586708,0.7293911663740893,0.21788194444444445,dlinear_a23,centralized,"DLinear, AAAI 2023, Zeng et al.",0.06727784668183445,0.0952963007659447,0.10142134599111698,0.606085861410167,0.593181952688967,0.56717987564486,0.16402568414390728,0.012903908721199953,False,85,acceptable,1.9,0.0952963007659447,98,,,,,,
0.1016329675912857,0.19591689109802246,0.318799259082084,48.048025369644165,172.2609281539917,0.7026407332565053,0.40359533619412835,0.46645887205482767,0.5662767710133234,0.16228137459355962,True,0.8491271219135802,0.7141976260212733,0.5127268702965914,0.48727312970340864,0.05715871254162042,0.596920698318624,0.7277840788774855,0.21788194444444445,dlinear_a23,federated,"DLinear, AAAI 2023, Zeng et al.",0.06764853250229141,0.09613247403526694,0.10163296262423198,0.6039154830039835,0.5896123453285005,0.566276792210447,0.16228141553493447,0.014303137675482969,False,39,acceptable,1.6,0.09613247403526694,,40,2,4,503316480.0,1351680.0,372.3636363636364
0.10054671764373779,0.21194522082805634,0.31709102422449265,48.1275737285614,172.01250791549683,0.7601250945653691,0.40996969040350006,0.4614733743633654,0.5709123911856255,0.1712348848026395,True,0.8499469521604939,0.7260890532068799,0.4998893315626383,0.5001106684373617,0.05253422123566408,0.5921216490791112,0.7236775551634871,0.21788194444444445,nhits_a23,centralized,"N-HiTS, AAAI 2023, Challu et al.",0.056256311153297996,0.09912179822359628,0.10054673585626814,0.6706173362980653,0.5768509787350307,0.5709123134628387,0.17123473468426498,0.09376635756303464,True,12,diverging (val loss rising while train falls),0.9,0.09912179822359628,25,,,,,,
0.10068173706531525,0.21172599494457245,0.31730385605175876,47.205400466918945,171.76048755645752,0.7593388579389271,0.40917736666601956,0.46209306508564946,0.5703361897729304,0.17012197540987328,True,0.8494164737654321,0.7300906842539159,0.4900398406374502,0.5099601593625498,0.05046861511900358,0.5864512283954705,0.7197856127592233,0.21788194444444445,nhits_a23,federated,"N-HiTS, AAAI 2023, Challu et al.",0.05510137042348855,0.09937439816511744,0.10068173154636666,0.677379554548847,0.5757726345166867,0.57033621332529,0.17012202090028983,0.10160692003216032,False,30,acceptable,3.9,0.09937439816511744,,40,1,4,503316480.0,752025600.0,0.6692810457516339
0.09768950194120407,0.19064350426197052,0.31255319857778463,46.51564657688141,171.7925786972046,0.683728140409292,0.4267364621595242,0.4483597789876903,0.5831056868236899,0.19478573515704234,True,0.8508150077160493,0.7356492969396196,0.49214254094732185,0.5078574590526781,0.049266247379454925,0.5897486904051455,0.7214381467839335,0.21788194444444445,patchtst_i23,centralized,"PatchTST, ICLR 2023, Nie et al.",0.06297100724569007,0.0926057495237366,0.09768950470067837,0.6313025565067953,0.6046678634089824,0.5831056750475101,0.19478571241183396,0.026634693097812967,False,20,acceptable,3.0,0.0926057495237366,33,,,,,,
0.0982462614774704,0.193932443857193,0.313442596782043,48.31109642982483,172.34042882919312,0.6955236671546977,0.423469274435724,0.4509151055854234,0.5807296906330673,0.19019659597851712,True,0.8491030092592593,0.7381687242798354,0.4764276228419655,0.5235723771580345,0.04707732149463559,0.5790960451977402,0.7146751506736649,0.21788194444444445,patchtst_i23,federated,"PatchTST, ICLR 2023, Nie et al.",0.06344969710257911,0.09300128103998619,0.09824626276522506,0.6284998107007371,0.6029793470888596,0.5807296851375168,0.19019658536408657,0.025520463611877542,False,23,acceptable,6.5,0.09300128103998619,,34,2,4,427819008.0,155714560.0,2.7474566797093347
0.09883610904216766,0.19348983466625214,0.31438210674618183,46.809351444244385,171.89126014709473,0.6939362836232127,0.42000791886520983,0.4536222943671132,0.5782124898031237,0.185334725831375,True,0.8487172067901234,0.7287181185823121,0.4869411243913236,0.5130588756086765,0.050499445061043285,0.583786652514263,0.7182208396651402,0.21788194444444445,itransformer_i24,centralized,"iTransformer, ICLR 2024, Liu et al.",0.0617043900227863,0.09447756742801124,0.09883610987000996,0.6387186445192838,0.5966771093228493,0.5782124862702697,0.1853347190078125,0.0420415351964345,True,23,diverging (val loss rising while train falls),1.5,0.09447756742801124,36,,,,,,
